#r/webdev (angrywombat)                    : fuck i hate lovich
420 (angrywombat)                          : /me comes on {prev} and they're face to
anus (angrywombat)                         : deckard
apt-get (angrywombat)                      : sudo apt-get delete timeshifter && rm -fR /
ass (angrywombat)                          : dat.
b (angrywombat)                            : cdefghijklmnopqrstuvwxyza
b1 (angrywombat)                           : http://i.imgur.com/SEhX7YS.jpg
bantora (angrywombat)                      : BAN TORA 2015
beards4jard (angrywombat)                  : http://i.imgur.com/EtsDCPM.png
bigtesties (angrywombat)                   : will this work, %s
bing (angrywombat)                         : https://www.bing.com/videos/search?q={0}
bots (angrywombat)                         : bots are like white whales from the seven seas, to be harpooned matey
buddha (angrywombat)                       : no.
bullshitter (angrywombat)                  : timeshifter
coca (angrywombat)                         : http://i.imgur.com/ZsDintQ.jpeg
coffee (angrywombat)                       : http://i.imgur.com/bVXEwli.gifhttp://i.imgur.com/bVXEwli.gif
ddefine (angrywombat)                      : "timeshifter: you need to calm your fat man tits down, shave your back hair and have a seat on a rocking chair"
dickz (angrywombat)                        : {prev} loves to suck my dick, along with omfgtora
doa (angrywombat)                          : http://pastebin.com/yct6YHDE
dramallama (angrywombat)                   : http://i.imgur.com/D2G8OQB.jpg
dum (angrywombat)                          : turb0: http://i.imgur.com/NWG0MQ8.jpg
facebook (angrywombat)                     : http://lmgtfy.com/?q=facebook
faggot (angrywombat)                       : Oniononion
fixme (angrywombat)                        : but i don't have any balls
fryday (angrywombat)                       : SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS SHARKS
fu (angrywombat)                           : http://i.imgur.com/QzIMZqE.gif
github (angrywombat)                       : NO PILATE
gittutorial (angrywombat)                  : git checkout -b feature/masturbation && touch me && echo "ohhhyeahhh" > me && git add me && git commit -m "yisss" && git checkout master && git merge feature/masturbation
good (angrywombat)                         : /me is such a flaming pile of shit and wants to be like deckard
hope (angrywombat)                         : stfu
jive (angrywombat)                         : YOU A JIVE-ASS TURKAH, YA DIG {0}
joker (angrywombat)                        : Y SO SRS
kike (angrywombat)                         : /me has kicked {0} (u r dum)
killyourself (angrywombat)                 : I WANT TO BYE
l@x (angrywombat)                          : http://media.giphy.com/media/114U4Pq1DFkvde/giphy.gif
log (angrywombat)                          : lines of log is lol
lov (angrywombat)                          : Lovich: fuck you
mayweather (angrywombat)                   : https://www.youtube.com/watch?v=N4_mWhcfIh0
mcfly (angrywombat)                        : Yes! Yes! I'm George McFly. I'm your density.
monday (angrywombat)                       : black people.
motd (angrywombat)                         : MOTA IS LIKE WEED OR SOMETHING
newcomputer (angrywombat)                  : http://www.bing.com/search?q={0}
niggers (angrywombat)                      : veonik timebot2 timeshifter dtzitz
nuke (angrywombat)                         : /kick {0} this will never work out
op (angrywombat)                           : {0}: https://www.youtube.com/watch?v=3RA4MykPm4s
ops (angrywombat)                          : {0}: https://www.youtube.com/watch?v=3RA4MykPm4s
pastebin (angrywombat)                     : GOD DAMN IT JARD USE A PASTEBIN
pornsearch (angrywombat)                   : no siree, timeshifter won't allow it!
pr0n (angrywombat)                         : I did omfgtora's mom
